Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Daylight/Dark,Weather Conditions,Local Authority ,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
2,04/08/2017,1430,U,Dry,1,Daylight,1,Calderdale,8,1,3,1,50
2,09/08/2017,1655,A58,Dry,1,Daylight,1,Calderdale,11,1,2,1,49
3,11/08/2017,805,A646,Dry,1,Daylight,1,Calderdale,9,1,3,2,47
2,03/08/2017,2043,U,Dry,4,Dark,1,Calderdale,9,1,2,1,62
2,13/08/2017,2050,A629,Dry,4,Dark,1,Calderdale,8,1,3,1,34
2,13/08/2017,2146,A6036,Dry,7,Dark,1,Calderdale,3,1,3,1,17
2,17/08/2017,1215,A58,Dry,1,Daylight,1,Calderdale,9,1,3,1,34
2,18/08/2017,2100,U,Dry,6,,4,Calderdale,9,1,3,1,49
1,23/08/2017,1518,U,Dry,1,Daylight,1,Calderdale,9,3,3,2,8
1,27/08/2017,609,A58,Dry,7,Dark,1,Calderdale,9,1,2,1,60
1,27/08/2017,922,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,39
2,07/10/2017,1433,A646,Dry,1,Daylight,1,Calderdale,9,1,3,1,55
1,27/08/2017,1505,A641,Dry,1,Daylight,1,Calderdale,9,3,2,1,24
1,27/08/2017,1657,A58,Dry,1,Daylight,1,Calderdale,9,3,2,1,27
2,28/08/2017,929,A672,Dry,1,Daylight,1,Calderdale,9,1,3,2,46
5,30/08/2017,1706,A646,Dry,7,Dark,1,Calderdale,9,1,3,1,46
2,30/08/2017,1721,A641,Dry,7,Dark,1,Calderdale,5,1,2,1,52
2,01/08/2017,1615,U,Dry,1,Daylight,1,Calderdale,3,1,3,1,20
4,01/09/2017,1058,M62,Dry,1,Daylight,1,Calderdale,9,1,3,2,52
2,01/09/2017,1455,A6036,Dry,1,Daylight,1,Calderdale,5,1,3,1,62
1,01/09/2017,2128,U,Dry,4,Dark,1,Calderdale,9,2,3,1,10
1,01/09/2017,2136,A58,Dry,7,Dark,1,Calderdale,4,1,3,1,20
2,02/09/2017,1957,U,Dry,4,Dark,1,Calderdale,9,1,3,2,24
3,04/09/2017,1240,U,Dry,1,Daylight,1,Calderdale,11,1,3,2,44
2,04/09/2017,1455,M62,Dry,1,Daylight,1,Calderdale,9,1,3,2,46
1,04/09/2017,1630,A646,Wet/Damp,1,Daylight,1,Calderdale,3,1,2,2,56
2,05/09/2017,645,U,Wet/Damp,7,Dark,2,Calderdale,9,1,3,1,41
3,06/09/2017,2209,U,Wet/Damp,7,Dark,1,Calderdale,9,1,3,1,45
3,07/09/2017,727,U,Dry,7,Dark,1,Calderdale,9,1,3,2,61
1,08/09/2017,734,M62,Wet/Damp,1,Daylight,2,Calderdale,9,1,3,2,23
2,08/09/2017,743,U,Wet/Damp,1,Daylight,2,Calderdale,9,1,3,1,30
2,13/09/2017,828,U,Dry,1,Daylight,1,Calderdale,9,1,3,2,53
1,08/09/2017,1755,U,Dry,7,Dark,1,Calderdale,9,3,3,2,9
2,08/09/2017,2130,M62,Wet/Damp,4,Dark,2,Calderdale,9,1,3,1,54
1,09/09/2017,1522,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,58
2,09/09/2017,1743,A6033,Wet/Damp,7,Dark,2,Calderdale,9,1,3,2,61
3,10/09/2017,1608,U,Wet/Damp,1,Daylight,2,Calderdale,1,1,3,1,22
3,11/09/2017,538,M62,Wet/Damp,4,Dark,2,Calderdale,9,1,3,1,31
4,11/09/2017,1330,M62,Wet/Damp,1,Daylight,2,Calderdale,9,2,3,2,64
2,11/09/2017,1838,A629,Dry,7,Dark,1,Calderdale,9,1,2,1,31
2,13/09/2017,1935,A58,Wet/Damp,4,Dark,1,Calderdale,9,1,3,1,21
3,15/09/2017,1214,M62,Dry,1,Daylight,1,Calderdale,9,2,3,2,82
2,16/09/2017,1205,U,Dry,1,Daylight,1,Calderdale,1,1,3,1,9
2,16/09/2017,1555,U,Dry,1,Daylight,1,Calderdale,4,1,3,1,36
2,17/09/2017,1025,U,Wet/Damp,1,Daylight,1,Calderdale,9,1,2,1,24
2,20/09/2017,1627,B6113,Dry,1,Daylight,1,Calderdale,9,1,2,1,16
2,21/09/2017,1625,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,12
1,22/09/2017,1617,A58,Wet/Damp,1,Daylight,2,Calderdale,3,1,3,1,25
1,22/09/2017,725,U,Dry,7,Dark,1,Calderdale,9,3,3,2,13
2,27/09/2017,1943,U,Wet/Damp,4,Dark,2,Calderdale,9,1,2,1,23
3,28/09/2017,1205,A646,Dry,1,Daylight,1,Calderdale,9,2,3,1,86
2,28/09/2017,2129,U,Dry,4,Dark,1,Calderdale,9,1,3,1,36
1,26/09/2017,750,A58,Dry,1,Daylight,1,Calderdale,11,3,3,1,63
2,16/09/2017,1300,B6114,Dry,1,Daylight,1,Calderdale,1,1,3,1,60
1,29/09/2017,1843,U,Dry,7,Dark,1,Calderdale,3,1,2,1,17
1,01/10/2017,1715,U,Wet/Damp,7,Dark,1,Calderdale,9,3,2,1,8
1,03/10/2017,850,A58,Wet/Damp,1,Daylight,1,Calderdale,9,3,3,1,
2,03/10/2017,1250,A58,Dry,1,Daylight,1,Calderdale,9,1,2,1,22
1,04/10/2017,753,A6036,Wet/Damp,1,Daylight,5,Calderdale,9,3,3,1,16
1,05/10/2017,1600,A646,Dry,1,Daylight,1,Calderdale,5,1,3,1,47
2,05/10/2017,1700,U,Wet/Damp,7,Dark,1,Calderdale,9,1,3,1,17
2,06/10/2017,620,A6025,Dry,7,Dark,1,Calderdale,9,1,3,1,49
2,08/10/2017,1220,A644,Dry,1,Daylight,1,Calderdale,9,1,3,1,38
1,06/10/2017,1418,A641,Dry,1,Daylight,1,Calderdale,9,1,3,2,90
4,07/10/2017,2122,A647,Wet/Damp,4,Dark,1,Calderdale,9,1,3,1,31
2,09/10/2017,1640,U,Dry,1,Daylight,1,Calderdale,5,1,1,1,42
3,09/10/2017,1730,M62,Dry,7,Dark,1,Calderdale,21,1,3,2,32
2,10/10/2017,702,U,Dry,7,Dark,1,Calderdale,1,1,2,1,41
2,10/10/2017,1745,A644,Dry,7,Dark,1,Calderdale,9,1,3,2,25
2,11/10/2017,143,A6026(M),Wet/Damp,4,Dark,1,Calderdale,9,1,3,2,64
1,11/10/2017,1130,U,Dry,1,Daylight,1,Calderdale,19,3,3,1,56
1,12/10/2017,611,A6025,Dry,7,Dark,1,Calderdale,9,1,3,1,32
2,14/10/2017,12,U,Dry,4,Dark,1,Calderdale,9,1,3,1,27
2,15/10/2017,1935,A646,Dry,4,Dark,1,Calderdale,9,1,3,2,62
2,16/10/2017,1011,M62,Dry,1,Daylight,1,Calderdale,9,1,3,2,43
1,17/10/2017,1607,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,87
1,18/10/2017,1007,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,
1,19/10/2017,840,A672,Dry,1,Daylight,1,Calderdale,9,1,3,2,33
2,14/10/2017,1130,U,Dry,1,Daylight,1,Calderdale,9,2,3,1,29
2,21/10/2017,55,A58,Dry,4,Dark,1,Calderdale,8,2,3,1,27
4,22/10/2017,1531,U,Dry,1,Daylight,1,Calderdale,9,2,3,2,56
